id,type,label,seeAlso,sameAs,comment,isDefinedBy,domain,range,subPropertyOf
https://data.bodemenondergrond.vlaanderen.be/id/ontology/bodemenondergrond,http://www.w3.org/2002/07/owl#Ontology,bodemenondergrond,http://def.isotc211.org/iso19123/2005/CoverageCore#CV_CurveValuePair.geometry|http://def.isotc211.org/iso19123/2005/CoverageCore#CV_GeometryValuePair.value|http://def.isotc211.org/iso19156/2011/SamplingPoint#SF_SamplingCurve.shape|http://purl.org/dc/terms/type|http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/sosa/Observation|http://www.w3.org/ns/sosa/observedProperty|http://www.w3.org/ns/sosa/result,https://data.bodemenondergrond.vlaanderen.be/ns/bodemenondergrond,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/ns/bodemenondergrond,http://www.w3.org/2002/07/owl#Ontology,bodemenondergrond,null,https://data.bodemenondergrond.vlaanderen.be/id/ontology/bodemenondergrond,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/ns/bodemenondergrond#BO_CurveWaardepaar,http://www.w3.org/2000/01/rdf-schema#Class,BO_CurveWaardepaar,null,null,Een Curvewaardepaar dat overeenstemt met een Profielelement.,https://data.bodemenondergrond.vlaanderen.be/id/ontology/bodemenondergrond,null,null,null
https://data.bodemenondergrond.vlaanderen.be/ns/bodemenondergrond#BO_RuimtelijkBemonsteringsobject,http://www.w3.org/2000/01/rdf-schema#Class,BO_RuimtelijkBemonsteringsobject,null,null,RuimtelijkBemonsteringsobject met bijkomende kenmerken relevant voor het domein Bodem en Ondergrond.,https://data.bodemenondergrond.vlaanderen.be/id/ontology/bodemenondergrond,null,null,null
https://data.bodemenondergrond.vlaanderen.be/ns/bodemenondergrond#Boring,http://www.w3.org/2000/01/rdf-schema#Class,Boring,null,null,Het aanbrengen van een gat in iets dmv een boor.,https://data.bodemenondergrond.vlaanderen.be/id/ontology/bodemenondergrond,null,null,null
https://data.bodemenondergrond.vlaanderen.be/ns/bodemenondergrond#Erkenning,http://www.w3.org/2000/01/rdf-schema#Class,Erkenning,null,null,Officiële toelating toegekend aan een Persoon of Organisatie om een bepaald soort activiteiten uit te oefenen.,https://data.bodemenondergrond.vlaanderen.be/id/ontology/bodemenondergrond,null,null,null
https://data.bodemenondergrond.vlaanderen.be/ns/bodemenondergrond#Fractiemeting,http://www.w3.org/2000/01/rdf-schema#Class,Fractiemeting,null,null,Meetreeks waarbij het aandeel van iets varieert in functie van iets anders.,https://data.bodemenondergrond.vlaanderen.be/id/ontology/bodemenondergrond,null,null,null
https://data.bodemenondergrond.vlaanderen.be/ns/bodemenondergrond#Fractiemetingresultaat,http://www.w3.org/2000/01/rdf-schema#Class,Fractiemetingresultaat,null,null,Resultaat van een Fractiemeting.,https://data.bodemenondergrond.vlaanderen.be/id/ontology/bodemenondergrond,null,null,null
https://data.bodemenondergrond.vlaanderen.be/ns/bodemenondergrond#Fractiemetingwaarde,http://www.w3.org/2000/01/rdf-schema#Class,Fractiemetingwaarde,null,null,Een Meetreekswaarde met een waarde voor de fractie en een waarde voor de parameter.,https://data.bodemenondergrond.vlaanderen.be/id/ontology/bodemenondergrond,null,null,null
https://data.bodemenondergrond.vlaanderen.be/ns/bodemenondergrond#Interpretatie,http://www.w3.org/2000/01/rdf-schema#Class,Interpretatie,null,null,Persoonlijk beredeneerd oordeel over de betekenis van iets.,https://data.bodemenondergrond.vlaanderen.be/id/ontology/bodemenondergrond,null,null,null
